X Y N T M U V
133.625000 3.375000 0.000000 0.000000 0.000000 0.000000 0.000000
133.625000 3.625000 0.000000 0.000000 0.000000 0.000000 0.000000
133.625000 3.875000 0.000000 0.000000 0.000000 0.000000 0.000000
133.625000 4.125000 0.000000 0.000000 0.000000 0.000000 0.000000
133.625000 4.375000 0.004000 16.248535 0.004032 -0.022979 -0.002101
133.625000 4.625000 0.267000 310.730973 1.168620 -0.187584 -0.052988
133.625000 4.875000 0.753000 370.698724 4.371951 0.005209 -0.023817
133.875000 0.125000 0.000000 0.000000 0.000000 0.000000 0.000000
133.875000 0.375000 0.000000 0.000000 0.000000 0.000000 0.000000
133.875000 0.625000 0.000000 0.000000 0.000000 0.000000 0.000000
133.875000 0.875000 0.000000 0.000000 0.000000 0.000000 0.000000
133.875000 1.125000 0.000000 0.000000 0.000000 0.000000 0.000000
133.875000 1.375000 0.000000 0.000000 0.000000 0.000000 0.000000
133.875000 1.625000 0.000000 0.000000 0.000000 0.000000 0.000000
133.875000 1.875000 0.000000 0.000000 0.000000 0.000000 0.000000
133.875000 2.125000 0.000000 0.000000 0.000000 0.000000 0.000000
133.875000 2.375000 0.000000 0.000000 0.000000 0.000000 0.000000
133.875000 2.625000 0.000000 0.000000 0.000000 0.000000 0.000000
133.875000 2.875000 0.000000 0.000000 0.000000 0.000000 0.000000
133.875000 3.125000 0.000000 0.000000 0.000000 0.000000 0.000000
133.875000 3.375000 0.000000 0.000000 0.000000 0.000000 0.000000
133.875000 3.625000 0.000000 0.000000 0.000000 0.000000 0.000000
133.875000 3.875000 0.000000 0.000000 0.000000 0.000000 0.000000
133.875000 4.125000 0.000000 0.000000 0.000000 0.000000 0.000000
133.875000 4.375000 0.115000 291.330872 0.235851 0.061652 -0.137615
133.875000 4.625000 1.754000 307.511180 9.488603 -0.034198 -0.092289
133.875000 4.875000 5.474000 320.731226 29.893809 -0.046958 -0.060485
134.125000 0.125000 0.000000 0.000000 0.000000 0.000000 0.000000
134.125000 0.375000 0.000000 0.000000 0.000000 0.000000 0.000000
134.125000 0.625000 0.000000 0.000000 0.000000 0.000000 0.000000
134.125000 0.875000 0.000000 0.000000 0.000000 0.000000 0.000000
134.125000 1.125000 0.000000 0.000000 0.000000 0.000000 0.000000
134.125000 1.375000 0.000000 0.000000 0.000000 0.000000 0.000000
134.125000 1.625000 0.000000 0.000000 0.000000 0.000000 0.000000
134.125000 1.875000 0.000000 0.000000 0.000000 0.000000 0.000000
134.125000 2.125000 0.000000 0.000000 0.000000 0.000000 0.000000
134.125000 2.375000 0.000000 0.000000 0.000000 0.000000 0.000000
134.125000 2.625000 0.000000 0.000000 0.000000 0.000000 0.000000
134.125000 2.875000 0.000000 0.000000 0.000000 0.000000 0.000000
134.125000 3.125000 0.000000 0.000000 0.000000 0.000000 0.000000
134.125000 3.375000 0.000000 0.000000 0.000000 0.000000 0.000000
134.125000 3.625000 0.000000 0.000000 0.000000 0.000000 0.000000
134.125000 3.875000 0.000000 0.000000 0.000000 0.000000 0.000000
134.125000 4.125000 0.043000 269.017385 0.163275 0.430856 -0.055681
134.125000 4.375000 0.817000 395.890744 4.886205 0.047768 -0.145805
134.125000 4.625000 3.533000 290.087823 18.942441 -0.047001 -0.056956
134.125000 4.875000 14.466000 291.506361 86.705354 -0.030286 -0.023536
134.375000 0.125000 0.000000 0.000000 0.000000 0.000000 0.000000
134.375000 0.375000 0.000000 0.000000 0.000000 0.000000 0.000000
134.375000 0.625000 0.000000 0.000000 0.000000 0.000000 0.000000
134.375000 0.875000 0.000000 0.000000 0.000000 0.000000 0.000000
134.375000 1.125000 0.000000 0.000000 0.000000 0.000000 0.000000
134.375000 1.375000 0.000000 0.000000 0.000000 0.000000 0.000000
134.375000 1.625000 0.000000 0.000000 0.000000 0.000000 0.000000
134.375000 1.875000 0.000000 0.000000 0.000000 0.000000 0.000000
134.375000 2.125000 0.000000 0.000000 0.000000 0.000000 0.000000
134.375000 2.375000 0.000000 0.000000 0.000000 0.000000 0.000000
134.375000 2.625000 0.000000 0.000000 0.000000 0.000000 0.000000
134.375000 2.875000 0.000000 0.000000 0.000000 0.000000 0.000000
134.375000 3.125000 0.000000 0.000000 0.000000 0.000000 0.000000
